variant,seed,length_group,num_samples,avg_loc,A@10,P@10,R@10,MRR@10,MAP@10,Median IFA
chunk_train_on,3,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.7948717948717949,0.8858231583231583,0.0
chunk_train_on,3,>100,12,334.75,0.75,0.2916666666666667,0.6209967320261438,0.5166666666666666,0.5541253306878307,2.0
chunk_train_on,4,21-50,14,29.714285714285715,1.0,0.35,0.9761904761904762,1.0,0.9910714285714286,0.0
chunk_train_on,4,51-100,11,74.0909090909091,1.0,0.36363636363636365,0.8646005509641874,1.0,0.9973169191919191,0.0
chunk_train_on,4,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.7948717948717949,0.8922334147334148,0.0
chunk_train_on,4,>100,12,334.75,0.75,0.26666666666666666,0.5907679738562092,0.5119047619047619,0.5424154383975812,2.0
chunk_train_on,5,21-50,14,29.714285714285715,1.0,0.3,0.9428571428571428,0.8803571428571428,0.8865268329554044,0.0
chunk_train_on,5,51-100,11,74.0909090909091,1.0,0.36363636363636365,0.8464187327823693,1.0,1.0,0.0
chunk_train_on,5,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.7948717948717949,0.8858231583231583,0.0
chunk_train_on,5,>100,12,334.75,0.75,0.2833333333333334,0.618545751633987,0.5257936507936508,0.5613803854875283,1.5
chunk_train_on,6,21-50,14,29.714285714285715,1.0,0.3357142857142857,0.9523809523809523,1.0,0.9910714285714286,0.0
chunk_train_on,6,51-100,11,74.0909090909091,1.0,0.3909090909090909,0.8880853994490359,1.0,1.0,0.0
chunk_train_on,6,<=20,13,13.153846153846153,1.0,0.3538461538461538,0.9099358974358973,0.8461538461538461,0.9258597883597884,0.0
chunk_train_on,6,>100,12,334.75,0.75,0.2916666666666667,0.6352124183006537,0.5138888888888888,0.5526303854875283,2.0
chunk_train_on,7,21-50,14,29.714285714285715,1.0,0.34285714285714286,0.9619047619047619,1.0,0.9691468253968255,0.0
chunk_train_on,7,51-100,11,74.0909090909091,1.0,0.3727272727272727,0.8653581267217632,1.0,1.0,0.0
chunk_train_on,7,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.8461538461538461,0.9258597883597884,0.0
chunk_train_on,7,>100,12,334.75,0.75,0.275,0.604656862745098,0.548611111111111,0.5813440098261526,1.0
chunk_train_on,8,21-50,14,29.714285714285715,1.0,0.2785714285714286,0.9111111111111112,0.9375,0.9350529100529101,0.0
chunk_train_on,8,51-100,11,74.0909090909091,1.0,0.35454545454545455,0.8547520661157025,1.0,0.9741393527107813,0.0
chunk_train_on,8,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.7948717948717949,0.8922334147334148,0.0
chunk_train_on,8,>100,12,334.75,0.75,0.2916666666666667,0.6352124183006537,0.5396825396825397,0.5724981103552532,1.0
chunk_train_on,9,21-50,14,29.714285714285715,1.0,0.34285714285714286,0.9682539682539683,1.0,0.9910714285714286,0.0
chunk_train_on,9,51-100,11,74.0909090909091,1.0,0.3727272727272727,0.8668732782369145,1.0,0.9963068181818181,0.0
chunk_train_on,9,<=20,13,13.153846153846153,1.0,0.3615384615384615,0.9355769230769231,0.7948717948717949,0.8858231583231583,0.0
chunk_train_on,9,>100,12,334.75,0.75,0.2916666666666667,0.6209967320261438,0.5097222222222222,0.5485532407407407,2.0
